cent,A4
-10.0,0.2900000000000001
-9.5,0.2800000000000001
-9.0,0.2700000000000001
-8.5,0.2700000000000001
-8.0,0.26000000000000006
-7.5,0.25000000000000006
-7.0,0.24000000000000007
-6.5,0.23000000000000007
-6.0,0.22000000000000006
-5.5,0.21000000000000005
-5.0,0.20000000000000004
-4.5,0.19000000000000003
-4.0,0.18000000000000002
-3.5,0.17
-3.0,0.16
-2.5,0.13999999999999999
-2.0,0.12999999999999998
-1.5,0.10999999999999999
-1.0,0.09
-0.5,0.060000000000000005
0.0,0.0
0.5,0.05
1.0,0.07
1.5,0.09
2.0,0.09999999999999999
2.5,0.10999999999999999
3.0,0.12999999999999998
3.5,0.13999999999999999
4.0,0.13999999999999999
4.5,0.15
5.0,0.16
5.5,0.17
6.0,0.18000000000000002
6.5,0.19000000000000003
7.0,0.19000000000000003
7.5,0.20000000000000004
8.0,0.21000000000000005
8.5,0.21000000000000005
9.0,0.22000000000000006
9.5,0.22000000000000006
10.0,0.23000000000000007
