cent,A4
-20.0,0.5100000000000002
-19.9,0.5100000000000002
-19.799999999999997,0.5100000000000002
-19.699999999999996,0.5100000000000002
-19.599999999999994,0.5100000000000002
-19.499999999999993,0.5000000000000002
-19.39999999999999,0.5000000000000002
-19.29999999999999,0.5000000000000002
-19.19999999999999,0.5000000000000002
-19.099999999999987,0.5000000000000002
-18.999999999999986,0.5000000000000002
-18.899999999999984,0.5000000000000002
-18.799999999999983,0.5000000000000002
-18.69999999999998,0.49000000000000027
-18.59999999999998,0.49000000000000027
-18.49999999999998,0.49000000000000027
-18.399999999999977,0.49000000000000027
-18.299999999999976,0.49000000000000027
-18.199999999999974,0.49000000000000027
-18.099999999999973,0.49000000000000027
-17.99999999999997,0.49000000000000027
-17.89999999999997,0.48000000000000026
-17.79999999999997,0.48000000000000026
-17.699999999999967,0.48000000000000026
-17.599999999999966,0.48000000000000026
-17.499999999999964,0.48000000000000026
-17.399999999999963,0.48000000000000026
-17.29999999999996,0.48000000000000026
-17.19999999999996,0.47000000000000025
-17.09999999999996,0.47000000000000025
-16.999999999999957,0.47000000000000025
-16.899999999999956,0.47000000000000025
-16.799999999999955,0.47000000000000025
-16.699999999999953,0.47000000000000025
-16.59999999999995,0.47000000000000025
-16.49999999999995,0.46000000000000024
-16.39999999999995,0.46000000000000024
-16.299999999999947,0.46000000000000024
-16.199999999999946,0.46000000000000024
-16.099999999999945,0.46000000000000024
-15.999999999999943,0.46000000000000024
-15.899999999999942,0.46000000000000024
-15.79999999999994,0.45000000000000023
-15.699999999999939,0.45000000000000023
-15.599999999999937,0.45000000000000023
-15.499999999999936,0.45000000000000023
-15.399999999999935,0.45000000000000023
-15.299999999999933,0.45000000000000023
-15.199999999999932,0.45000000000000023
-15.09999999999993,0.4400000000000002
-14.999999999999929,0.4400000000000002
-14.899999999999928,0.4400000000000002
-14.799999999999926,0.4400000000000002
-14.699999999999925,0.4400000000000002
-14.599999999999923,0.4400000000000002
-14.499999999999922,0.4400000000000002
-14.39999999999992,0.4300000000000002
-14.299999999999919,0.4300000000000002
-14.199999999999918,0.4300000000000002
-14.099999999999916,0.4300000000000002
-13.999999999999915,0.4300000000000002
-13.899999999999913,0.4300000000000002
-13.799999999999912,0.4300000000000002
-13.69999999999991,0.4200000000000002
-13.599999999999909,0.4200000000000002
-13.499999999999908,0.4200000000000002
-13.399999999999906,0.4200000000000002
-13.299999999999905,0.4200000000000002
-13.199999999999903,0.4200000000000002
-13.099999999999902,0.4100000000000002
-12.9999999999999,0.4100000000000002
-12.899999999999899,0.4100000000000002
-12.799999999999898,0.4100000000000002
-12.699999999999896,0.4100000000000002
-12.599999999999895,0.4100000000000002
-12.499999999999893,0.4100000000000002
-12.399999999999892,0.4000000000000002
-12.29999999999989,0.4000000000000002
-12.19999999999989,0.4000000000000002
-12.099999999999888,0.4000000000000002
-11.999999999999886,0.4000000000000002
-11.899999999999885,0.4000000000000002
-11.799999999999883,0.3900000000000002
-11.699999999999882,0.3900000000000002
-11.59999999999988,0.3900000000000002
-11.49999999999988,0.3900000000000002
-11.399999999999878,0.3900000000000002
-11.299999999999876,0.3900000000000002
-11.199999999999875,0.38000000000000017
-11.099999999999874,0.38000000000000017
-10.999999999999872,0.38000000000000017
-10.89999999999987,0.38000000000000017
-10.79999999999987,0.38000000000000017
-10.699999999999868,0.38000000000000017
-10.599999999999866,0.37000000000000016
-10.499999999999865,0.37000000000000016
-10.399999999999864,0.37000000000000016
-10.299999999999862,0.37000000000000016
-10.19999999999986,0.37000000000000016
-10.09999999999986,0.36000000000000015
-9.999999999999858,0.36000000000000015
-9.899999999999856,0.36000000000000015
-9.799999999999855,0.36000000000000015
-9.699999999999854,0.36000000000000015
-9.599999999999852,0.36000000000000015
-9.49999999999985,0.35000000000000014
-9.39999999999985,0.35000000000000014
-9.299999999999848,0.35000000000000014
-9.199999999999847,0.35000000000000014
-9.099999999999845,0.35000000000000014
-8.999999999999844,0.34000000000000014
-8.899999999999842,0.34000000000000014
